Counts, Uncertainty
6349.000000, 17.747827
6225.000000, 17.474205
8608.000000, 18.965800
7808.000000, 18.632072
6187.000000, 17.645488
5315.000000, 17.037259
4842.000000, 16.636527
4413.000000, 16.258800
3749.000000, 15.617743
3348.000000, 15.326178
2850.000000, 14.774021
2470.000000, 14.379654
2341.000000, 14.143122
2309.000000, 14.074584
2006.000000, 13.645500
2135.000000, 13.911256
1999.000000, 13.613327
1921.000000, 13.497271
1819.000000, 13.342932
1997.000000, 13.683669
1923.000000, 13.578538
2048.000000, 13.777416
2389.000000, 14.356902
2393.000000, 14.319067
2660.000000, 14.772941
2755.000000, 14.923889
3253.000000, 15.510230
3253.000000, 15.510230
3389.000000, 15.636239
3649.000000, 15.987590
