E_B#5 / keV	N_B#5
0.1	4
0.2	1
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	3
2.1	3
2.3	30
2.4	20
2.6	26
2.7	22
2.9	35
3.0	30
3.2	30
3.3	22
3.5	31
3.6	39
3.8	36
3.9	62
4.1	48
4.2	45
4.4	24
4.5	17
4.7	33
4.8	21
4.9	19
5.1	18
5.2	25
5.4	20
5.5	18
5.7	23
5.8	22
6.0	23
6.1	26
6.3	28
6.4	48
6.6	56
6.7	44
6.9	33
7.0	31
7.2	34
7.3	34
7.5	47
7.6	36
7.8	40
7.9	22
8.1	19
8.2	24
8.4	30
8.5	27
8.6	25
8.8	29
8.9	25
9.1	27
9.2	25
9.4	15
9.5	30
9.7	67
9.8	80
10.0	74
10.1	29
10.3	38
10.4	57
10.6	66
10.7	72
10.9	47
11.0	39
11.2	28
11.3	42
11.5	66
11.6	65
11.8	61
11.9	44
12.1	28
12.2	20
12.3	23
12.5	22
12.6	26
12.8	26
12.9	32
13.1	40
13.2	39
13.4	40
13.5	43
13.7	49
13.8	48
14.0	56
14.1	69
14.3	89
14.4	79
14.6	69
14.7	51
14.9	52
15.0	57
15.2	45
15.3	54
15.5	60
15.6	75
15.7	80
15.9	92
16.0	69
16.2	64
16.3	66
16.5	80
16.6	121
16.8	131
16.9	214
17.1	307
17.2	436
17.4	571
17.5	604
17.7	439
17.8	241
18.0	92
18.1	43
18.3	17
18.4	7
18.6	11
18.7	14
18.9	14
19.0	22
19.2	23
19.3	23
19.4	30
19.6	30
19.7	24
19.9	19
20.0	16
20.2	18
20.3	20
20.5	13
20.6	21
20.8	19
20.9	20
21.1	18
21.2	21
21.4	20
21.5	23
21.7	28
21.8	31
22.0	48
22.1	30
22.3	18
22.4	24
22.6	26
22.7	18
22.8	31
23.0	25
23.1	27
23.3	34
23.4	20
23.6	26
23.7	16
23.9	27
24.0	23
24.2	27
24.3	25
24.5	23
24.6	21
24.8	31
24.9	31
25.1	28
25.2	32
25.4	15
25.5	40
25.7	28
25.8	25
26.0	26
26.1	33
26.3	24
26.4	21
26.5	24
26.7	35
26.8	32
27.0	26
27.1	21
27.3	28
27.4	28
27.6	17
27.7	20
27.9	15
28.0	16
28.2	31
28.3	17
28.5	10
28.6	10
28.8	24
28.9	18
29.1	13
29.2	10
29.4	21
29.5	18
29.7	21
29.8	17
29.9	12
30.1	13
30.2	12
30.4	9
30.5	8
30.7	9
30.8	5
31.0	10
31.1	13
31.3	3
31.4	16
31.6	5
31.7	3
31.9	7
32.0	3
32.2	9
32.3	5
32.5	1
32.6	5
32.8	1
32.9	0
33.1	1
33.2	1
33.4	1
33.5	0
33.6	0
33.8	0
33.9	1
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	9
