E_B#12 / keV	N_B#12
0.1	1
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	1
1.8	0
2.0	0
2.1	1
2.3	10
2.4	10
2.6	28
2.7	13
2.9	18
3.0	22
3.2	11
3.3	24
3.5	28
3.6	32
3.8	47
3.9	57
4.1	51
4.2	44
4.4	20
4.5	21
4.7	16
4.8	23
4.9	18
5.1	16
5.2	22
5.4	21
5.5	17
5.7	13
5.8	11
6.0	24
6.1	20
6.3	34
6.4	36
6.6	50
6.7	22
6.9	27
7.0	21
7.2	23
7.3	24
7.5	23
7.6	20
7.8	31
7.9	15
8.1	20
8.2	14
8.4	16
8.5	11
8.6	18
8.8	25
8.9	22
9.1	11
9.2	16
9.4	13
9.5	26
9.7	41
9.8	41
10.0	24
10.1	35
10.3	22
10.4	48
10.6	67
10.7	66
10.9	35
11.0	19
11.2	17
11.3	25
11.5	32
11.6	37
11.8	43
11.9	31
12.1	21
12.2	24
12.3	17
12.5	15
12.6	10
12.8	17
12.9	22
13.1	23
13.2	28
13.4	17
13.5	22
13.7	27
13.8	33
14.0	37
14.1	52
14.3	46
14.4	50
14.6	51
14.7	26
14.9	44
15.0	22
15.2	42
15.3	43
15.5	41
15.6	38
15.7	54
15.9	61
16.0	62
16.2	60
16.3	86
16.5	96
16.6	147
16.8	187
16.9	217
17.1	214
17.2	173
17.4	166
17.5	173
17.7	144
17.8	60
18.0	24
18.1	14
18.3	6
18.4	17
18.6	13
18.7	14
18.9	8
19.0	16
19.2	16
19.3	9
19.4	10
19.6	12
19.7	12
19.9	11
20.0	13
20.2	14
20.3	10
20.5	17
20.6	19
20.8	13
20.9	16
21.1	12
21.2	11
21.4	19
21.5	9
21.7	11
21.8	21
22.0	27
22.1	27
22.3	21
22.4	11
22.6	23
22.7	14
22.8	19
23.0	18
23.1	17
23.3	17
23.4	15
23.6	25
23.7	17
23.9	25
24.0	16
24.2	12
24.3	24
24.5	24
24.6	18
24.8	17
24.9	17
25.1	20
25.2	17
25.4	21
25.5	20
25.7	18
25.8	19
26.0	23
26.1	16
26.3	20
26.4	17
26.5	9
26.7	16
26.8	15
27.0	13
27.1	8
27.3	20
27.4	8
27.6	12
27.7	19
27.9	11
28.0	19
28.2	12
28.3	6
28.5	9
28.6	12
28.8	9
28.9	9
29.1	8
29.2	7
29.4	5
29.5	11
29.7	2
29.8	7
29.9	3
30.1	6
30.2	4
30.4	5
30.5	7
30.7	2
30.8	2
31.0	2
31.1	1
31.3	2
31.4	1
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	2
32.5	1
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	9
