E_B#5 / keV	N_B#5
0.1	40
0.2	3
0.4	1
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	2
1.5	0
1.7	0
1.8	1
2.0	20
2.1	49
2.3	131
2.4	203
2.6	232
2.7	259
2.9	208
3.0	278
3.2	260
3.3	293
3.5	275
3.6	288
3.8	285
3.9	336
4.1	330
4.2	341
4.4	321
4.5	357
4.7	375
4.8	415
4.9	419
5.1	454
5.2	555
5.4	743
5.5	1448
5.7	2651
5.8	2876
6.0	2154
6.1	2625
6.3	5570
6.4	8744
6.6	8792
6.7	8755
6.9	13899
7.0	18444
7.2	13256
7.3	5630
7.5	1970
7.6	1896
7.8	2158
7.9	1823
8.1	1674
8.2	1266
8.4	731
8.5	294
8.6	134
8.8	185
8.9	254
9.1	214
9.2	142
9.4	100
9.5	82
9.7	140
9.8	193
10.0	135
10.1	103
10.3	76
10.4	70
10.6	60
10.7	60
10.9	66
11.0	70
11.2	95
11.3	137
11.5	209
11.6	241
11.8	199
11.9	175
12.1	102
12.2	90
12.3	59
12.5	50
12.6	68
12.8	56
12.9	55
13.1	64
13.2	62
13.4	72
13.5	101
13.7	99
13.8	107
14.0	93
14.1	99
14.3	92
14.4	91
14.6	83
14.7	86
14.9	74
15.0	74
15.2	102
15.3	122
15.5	144
15.6	249
15.7	415
15.9	551
16.0	399
16.2	223
16.3	165
16.5	153
16.6	154
16.8	187
16.9	208
17.1	252
17.2	552
17.4	1170
17.5	1765
17.7	1481
17.8	887
18.0	336
18.1	137
18.3	77
18.4	30
18.6	26
18.7	30
18.9	28
19.0	32
19.2	33
19.3	41
19.4	66
19.6	88
19.7	76
19.9	58
20.0	43
20.2	33
20.3	32
20.5	30
20.6	29
20.8	25
20.9	42
21.1	25
21.2	46
21.4	38
21.5	32
21.7	47
21.8	60
22.0	68
22.1	72
22.3	80
22.4	60
22.6	66
22.7	80
22.8	68
23.0	58
23.1	53
23.3	46
23.4	44
23.6	35
23.7	23
23.9	38
24.0	38
24.2	39
24.3	35
24.5	47
24.6	48
24.8	49
24.9	43
25.1	54
25.2	41
25.4	40
25.5	32
25.7	36
25.8	31
26.0	39
26.1	33
26.3	29
26.4	32
26.5	20
26.7	32
26.8	28
27.0	28
27.1	24
27.3	37
27.4	22
27.6	27
27.7	29
27.9	24
28.0	14
28.2	18
28.3	28
28.5	31
28.6	23
28.8	28
28.9	33
29.1	38
29.2	49
29.4	41
29.5	38
29.7	43
29.8	37
29.9	51
30.1	43
30.2	27
30.4	29
30.5	31
30.7	26
30.8	18
31.0	25
31.1	17
31.3	14
31.4	14
31.6	19
31.7	23
31.9	15
32.0	20
32.2	20
32.3	14
32.5	15
32.6	14
32.8	6
32.9	6
33.1	11
33.2	5
33.4	4
33.5	5
33.6	3
33.8	4
33.9	3
34.1	3
34.2	2
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	68
