E_B#12 / keV	N_B#12
0.1	23
0.2	0
0.4	3
0.5	1
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	2
2.1	0
2.3	1
2.4	0
2.6	0
2.7	3
2.9	1
3.0	0
3.2	1
3.3	4
3.5	0
3.6	4
3.8	1
3.9	1
4.1	0
4.2	2
4.4	1
4.5	0
4.7	1
4.8	1
4.9	0
5.1	2
5.2	3
5.4	1
5.5	2
5.7	3
5.8	2
6.0	4
6.1	3
6.3	3
6.4	2
6.6	1
6.7	4
6.9	3
7.0	3
7.2	4
7.3	0
7.5	5
7.6	5
7.8	3
7.9	3
8.1	5
8.2	2
8.4	0
8.5	6
8.6	8
8.8	3
8.9	6
9.1	2
9.2	2
9.4	1
9.5	3
9.7	7
9.8	7
10.0	12
10.1	4
10.3	4
10.4	1
10.6	3
10.7	6
10.9	3
11.0	2
11.2	2
11.3	3
11.5	6
11.6	11
11.8	5
11.9	7
12.1	3
12.2	2
12.3	2
12.5	0
12.6	2
12.8	4
12.9	1
13.1	1
13.2	4
13.4	4
13.5	3
13.7	3
13.8	2
14.0	3
14.1	7
14.3	1
14.4	5
14.6	4
14.7	2
14.9	2
15.0	2
15.2	6
15.3	1
15.5	5
15.6	23
15.7	26
15.9	25
16.0	27
16.2	14
16.3	6
16.5	6
16.6	9
16.8	10
16.9	6
17.1	7
17.2	28
17.4	44
17.5	67
17.7	61
17.8	49
18.0	21
18.1	23
18.3	11
18.4	14
18.6	10
18.7	8
18.9	18
19.0	11
19.2	21
19.3	23
19.4	37
19.6	48
19.7	45
19.9	30
20.0	19
20.2	4
20.3	2
20.5	0
20.6	0
20.8	0
20.9	0
21.1	1
21.2	0
21.4	2
21.5	0
21.7	0
21.8	1
22.0	1
22.1	0
22.3	0
22.4	1
22.6	1
22.7	1
22.8	0
23.0	0
23.1	0
23.3	0
23.4	0
23.6	0
23.7	1
23.9	0
24.0	0
24.2	1
24.3	0
24.5	0
24.6	2
24.8	1
24.9	0
25.1	0
25.2	1
25.4	0
25.5	0
25.7	1
25.8	0
26.0	2
26.1	1
26.3	0
26.4	0
26.5	0
26.7	1
26.8	0
27.0	0
27.1	0
27.3	1
27.4	1
27.6	0
27.7	2
27.9	0
28.0	0
28.2	2
28.3	0
28.5	0
28.6	0
28.8	0
28.9	0
29.1	0
29.2	2
29.4	0
29.5	2
29.7	1
29.8	1
29.9	1
30.1	0
30.2	1
30.4	2
30.5	0
30.7	0
30.8	0
31.0	2
31.1	0
31.3	1
31.4	0
31.6	2
31.7	3
31.9	0
32.0	1
32.2	0
32.3	0
32.5	0
32.6	1
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	1
33.6	1
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	4
