E_B#14 / keV	N_B#14
0.1	6
0.2	0
0.4	2
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	1
1.7	0
1.8	0
2.0	0
2.1	1
2.3	5
2.4	4
2.6	3
2.7	3
2.9	4
3.0	0
3.2	3
3.3	1
3.5	3
3.6	2
3.8	1
3.9	3
4.1	2
4.2	2
4.4	4
4.5	2
4.7	1
4.8	4
4.9	1
5.1	2
5.2	5
5.4	7
5.5	1
5.7	3
5.8	5
6.0	1
6.1	3
6.3	1
6.4	3
6.6	1
6.7	3
6.9	5
7.0	1
7.2	3
7.3	2
7.5	3
7.6	3
7.8	3
7.9	2
8.1	1
8.2	0
8.4	2
8.5	2
8.6	3
8.8	1
8.9	2
9.1	4
9.2	1
9.4	1
9.5	4
9.7	6
9.8	5
10.0	4
10.1	3
10.3	2
10.4	3
10.6	2
10.7	3
10.9	3
11.0	2
11.2	0
11.3	7
11.5	3
11.6	1
11.8	5
11.9	8
12.1	1
12.2	4
12.3	2
12.5	2
12.6	3
12.8	1
12.9	2
13.1	1
13.2	3
13.4	0
13.5	5
13.7	4
13.8	2
14.0	4
14.1	4
14.3	2
14.4	0
14.6	1
14.7	1
14.9	6
15.0	0
15.2	5
15.3	5
15.5	20
15.6	40
15.7	83
15.9	98
16.0	67
16.2	21
16.3	13
16.5	11
16.6	11
16.8	23
16.9	10
17.1	6
17.2	17
17.4	22
17.5	38
17.7	37
17.8	23
18.0	18
18.1	11
18.3	11
18.4	5
18.6	11
18.7	11
18.9	3
19.0	4
19.2	4
19.3	4
19.4	17
19.6	8
19.7	13
19.9	4
20.0	4
20.2	1
20.3	0
20.5	0
20.6	0
20.8	0
20.9	0
21.1	0
21.2	0
21.4	0
21.5	0
21.7	0
21.8	1
22.0	0
22.1	0
22.3	0
22.4	0
22.6	0
22.7	0
22.8	0
23.0	0
23.1	0
23.3	0
23.4	0
23.6	0
23.7	0
23.9	0
24.0	0
24.2	0
24.3	0
24.5	0
24.6	0
24.8	0
24.9	0
25.1	0
25.2	1
25.4	0
25.5	0
25.7	0
25.8	0
26.0	1
26.1	0
26.3	0
26.4	0
26.5	1
26.7	0
26.8	0
27.0	0
27.1	0
27.3	1
27.4	0
27.6	0
27.7	0
27.9	0
28.0	0
28.2	0
28.3	0
28.5	1
28.6	0
28.8	1
28.9	1
29.1	0
29.2	0
29.4	0
29.5	1
29.7	0
29.8	0
29.9	0
30.1	0
30.2	0
30.4	1
30.5	0
30.7	0
30.8	0
31.0	0
31.1	0
31.3	0
31.4	0
31.6	1
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	1
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	3
