E_B#12 / keV	N_B#12
0.1	8
0.2	0
0.4	2
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	1
1.8	0
2.0	1
2.1	2
2.3	4
2.4	7
2.6	16
2.7	15
2.9	10
3.0	10
3.2	15
3.3	12
3.5	15
3.6	8
3.8	9
3.9	9
4.1	11
4.2	11
4.4	16
4.5	12
4.7	12
4.8	13
4.9	9
5.1	15
5.2	16
5.4	13
5.5	14
5.7	11
5.8	8
6.0	16
6.1	13
6.3	15
6.4	18
6.6	15
6.7	31
6.9	34
7.0	45
7.2	34
7.3	25
7.5	20
7.6	34
7.8	34
7.9	28
8.1	29
8.2	21
8.4	12
8.5	18
8.6	17
8.8	22
8.9	12
9.1	17
9.2	13
9.4	18
9.5	24
9.7	35
9.8	32
10.0	28
10.1	18
10.3	9
10.4	10
10.6	7
10.7	9
10.9	9
11.0	9
11.2	9
11.3	14
11.5	21
11.6	33
11.8	21
11.9	17
12.1	12
12.2	12
12.3	11
12.5	9
12.6	14
12.8	9
12.9	11
13.1	13
13.2	14
13.4	9
13.5	12
13.7	10
13.8	19
14.0	16
14.1	12
14.3	13
14.4	11
14.6	16
14.7	13
14.9	16
15.0	18
15.2	23
15.3	30
15.5	59
15.6	184
15.7	379
15.9	481
16.0	318
16.2	146
16.3	62
16.5	52
16.6	76
16.8	79
16.9	49
17.1	40
17.2	48
17.4	71
17.5	119
17.7	137
17.8	115
18.0	72
18.1	49
18.3	9
18.4	0
18.6	2
18.7	4
18.9	3
19.0	1
19.2	2
19.3	1
19.4	2
19.6	4
19.7	1
19.9	1
20.0	2
20.2	0
20.3	1
20.5	1
20.6	1
20.8	0
20.9	2
21.1	1
21.2	3
21.4	0
21.5	1
21.7	3
21.8	2
22.0	1
22.1	4
22.3	1
22.4	2
22.6	0
22.7	0
22.8	1
23.0	0
23.1	1
23.3	2
23.4	0
23.6	0
23.7	2
23.9	4
24.0	2
24.2	1
24.3	1
24.5	2
24.6	1
24.8	2
24.9	4
25.1	3
25.2	2
25.4	0
25.5	1
25.7	0
25.8	2
26.0	3
26.1	1
26.3	0
26.4	2
26.5	4
26.7	4
26.8	2
27.0	1
27.1	0
27.3	1
27.4	2
27.6	4
27.7	1
27.9	0
28.0	0
28.2	3
28.3	2
28.5	0
28.6	1
28.8	1
28.9	2
29.1	1
29.2	1
29.4	2
29.5	1
29.7	0
29.8	1
29.9	2
30.1	0
30.2	3
30.4	0
30.5	0
30.7	0
30.8	1
31.0	1
31.1	0
31.3	0
31.4	0
31.6	0
31.7	0
31.9	1
32.0	1
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	7
