E_B#10 / keV	N_B#10
0.1	1
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	0
2.1	2
2.3	2
2.4	6
2.6	6
2.7	7
2.9	8
3.0	7
3.2	4
3.3	4
3.5	6
3.6	9
3.8	5
3.9	7
4.1	4
4.2	4
4.4	11
4.5	5
4.7	7
4.8	8
4.9	6
5.1	2
5.2	4
5.4	1
5.5	5
5.7	5
5.8	6
6.0	8
6.1	8
6.3	9
6.4	9
6.6	22
6.7	35
6.9	54
7.0	96
7.2	89
7.3	30
7.5	25
7.6	30
7.8	45
7.9	67
8.1	91
8.2	83
8.4	45
8.5	21
8.6	10
8.8	15
8.9	22
9.1	21
9.2	20
9.4	4
9.5	3
9.7	15
9.8	8
10.0	6
10.1	3
10.3	3
10.4	2
10.6	2
10.7	2
10.9	3
11.0	1
11.2	3
11.3	11
11.5	8
11.6	16
11.8	5
11.9	5
12.1	1
12.2	1
12.3	0
12.5	3
12.6	2
12.8	4
12.9	2
13.1	0
13.2	4
13.4	1
13.5	2
13.7	1
13.8	3
14.0	2
14.1	2
14.3	0
14.4	1
14.6	0
14.7	2
14.9	2
15.0	2
15.2	3
15.3	3
15.5	5
15.6	3
15.7	9
15.9	16
16.0	5
16.2	6
16.3	0
16.5	3
16.6	4
16.8	3
16.9	7
17.1	7
17.2	16
17.4	23
17.5	30
17.7	32
17.8	8
18.0	5
18.1	3
18.3	4
18.4	4
18.6	3
18.7	0
18.9	0
19.0	2
19.2	2
19.3	3
19.4	3
19.6	5
19.7	7
19.9	5
20.0	2
20.2	3
20.3	5
20.5	3
20.6	6
20.8	5
20.9	0
21.1	1
21.2	6
21.4	3
21.5	9
21.7	3
21.8	5
22.0	12
22.1	9
22.3	8
22.4	8
22.6	3
22.7	17
22.8	13
23.0	11
23.1	7
23.3	9
23.4	16
23.6	5
23.7	7
23.9	4
24.0	5
24.2	4
24.3	9
24.5	9
24.6	9
24.8	5
24.9	9
25.1	9
25.2	5
25.4	10
25.5	8
25.7	8
25.8	8
26.0	6
26.1	8
26.3	10
26.4	4
26.5	8
26.7	5
26.8	4
27.0	3
27.1	10
27.3	5
27.4	7
27.6	5
27.7	10
27.9	3
28.0	4
28.2	8
28.3	8
28.5	6
28.6	7
28.8	8
28.9	6
29.1	11
29.2	8
29.4	10
29.5	13
29.7	11
29.8	12
29.9	14
30.1	8
30.2	10
30.4	10
30.5	4
30.7	4
30.8	6
31.0	4
31.1	4
31.3	3
31.4	6
31.6	3
31.7	2
31.9	3
32.0	8
32.2	5
32.3	4
32.5	3
32.6	3
32.8	7
32.9	6
33.1	2
33.2	2
33.4	0
33.5	1
33.6	0
33.8	1
33.9	1
34.1	3
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	1
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	4
