E_B#16 / keV	N_B#16
0.1	1
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	0
2.1	1
2.3	0
2.4	2
2.6	2
2.7	2
2.9	1
3.0	3
3.2	1
3.3	2
3.5	0
3.6	0
3.8	0
3.9	1
4.1	1
4.2	1
4.4	0
4.5	2
4.7	1
4.8	0
4.9	1
5.1	2
5.2	2
5.4	1
5.5	0
5.7	1
5.8	1
6.0	1
6.1	5
6.3	0
6.4	2
6.6	5
6.7	3
6.9	3
7.0	5
7.2	1
7.3	2
7.5	1
7.6	2
7.8	2
7.9	4
8.1	1
8.2	2
8.4	0
8.5	1
8.6	2
8.8	5
8.9	0
9.1	2
9.2	1
9.4	0
9.5	1
9.7	4
9.8	2
10.0	3
10.1	2
10.3	1
10.4	0
10.6	3
10.7	1
10.9	1
11.0	2
11.2	0
11.3	3
11.5	2
11.6	4
11.8	1
11.9	2
12.1	2
12.2	1
12.3	0
12.5	1
12.6	1
12.8	2
12.9	0
13.1	1
13.2	2
13.4	4
13.5	1
13.7	1
13.8	2
14.0	3
14.1	2
14.3	0
14.4	1
14.6	4
14.7	0
14.9	0
15.0	2
15.2	2
15.3	5
15.5	7
15.6	18
15.7	20
15.9	31
16.0	15
16.2	9
16.3	9
16.5	18
16.6	16
16.8	16
16.9	19
17.1	12
17.2	18
17.4	23
17.5	25
17.7	42
17.8	25
18.0	11
18.1	3
18.3	0
18.4	1
18.6	1
18.7	2
18.9	2
19.0	0
19.2	0
19.3	2
19.4	3
19.6	3
19.7	2
19.9	0
20.0	0
20.2	0
20.3	0
20.5	0
20.6	0
20.8	0
20.9	0
21.1	0
21.2	0
21.4	0
21.5	0
21.7	0
21.8	0
22.0	1
22.1	0
22.3	1
22.4	0
22.6	0
22.7	0
22.8	0
23.0	0
23.1	0
23.3	0
23.4	0
23.6	1
23.7	0
23.9	0
24.0	0
24.2	0
24.3	0
24.5	0
24.6	0
24.8	0
24.9	0
25.1	0
25.2	1
25.4	0
25.5	0
25.7	0
25.8	0
26.0	1
26.1	0
26.3	1
26.4	0
26.5	0
26.7	1
26.8	0
27.0	0
27.1	1
27.3	0
27.4	0
27.6	0
27.7	0
27.9	0
28.0	0
28.2	0
28.3	2
28.5	0
28.6	0
28.8	0
28.9	1
29.1	1
29.2	0
29.4	0
29.5	0
29.7	1
29.8	0
29.9	0
30.1	0
30.2	0
30.4	1
30.5	1
30.7	0
30.8	1
31.0	0
31.1	0
31.3	1
31.4	0
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	1
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	1
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	1
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	3
