E_B#16 / keV	N_B#16
0.1	0
0.2	1
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	0
2.1	1
2.3	3
2.4	2
2.6	2
2.7	1
2.9	5
3.0	4
3.2	1
3.3	5
3.5	6
3.6	10
3.8	12
3.9	7
4.1	9
4.2	8
4.4	8
4.5	13
4.7	4
4.8	9
4.9	5
5.1	7
5.2	4
5.4	11
5.5	2
5.7	6
5.8	3
6.0	3
6.1	5
6.3	2
6.4	4
6.6	0
6.7	7
6.9	2
7.0	3
7.2	4
7.3	2
7.5	3
7.6	4
7.8	4
7.9	0
8.1	1
8.2	2
8.4	2
8.5	3
8.6	4
8.8	1
8.9	4
9.1	1
9.2	0
9.4	4
9.5	5
9.7	3
9.8	7
10.0	8
10.1	2
10.3	1
10.4	2
10.6	2
10.7	4
10.9	1
11.0	2
11.2	3
11.3	6
11.5	7
11.6	10
11.8	5
11.9	6
12.1	3
12.2	2
12.3	4
12.5	2
12.6	1
12.8	0
12.9	1
13.1	1
13.2	3
13.4	0
13.5	4
13.7	0
13.8	2
14.0	5
14.1	3
14.3	3
14.4	1
14.6	3
14.7	3
14.9	2
15.0	3
15.2	2
15.3	5
15.5	6
15.6	11
15.7	17
15.9	20
16.0	15
16.2	12
16.3	12
16.5	8
16.6	12
16.8	11
16.9	17
17.1	28
17.2	31
17.4	78
17.5	69
17.7	65
17.8	21
18.0	11
18.1	9
18.3	2
18.4	3
18.6	1
18.7	2
18.9	2
19.0	3
19.2	3
19.3	5
19.4	8
19.6	2
19.7	5
19.9	2
20.0	2
20.2	3
20.3	0
20.5	0
20.6	0
20.8	0
20.9	1
21.1	0
21.2	0
21.4	0
21.5	0
21.7	1
21.8	2
22.0	0
22.1	1
22.3	0
22.4	1
22.6	0
22.7	0
22.8	0
23.0	0
23.1	1
23.3	0
23.4	0
23.6	0
23.7	0
23.9	0
24.0	0
24.2	0
24.3	0
24.5	0
24.6	0
24.8	0
24.9	0
25.1	1
25.2	0
25.4	0
25.5	0
25.7	0
25.8	1
26.0	0
26.1	1
26.3	0
26.4	1
26.5	0
26.7	0
26.8	0
27.0	0
27.1	0
27.3	0
27.4	0
27.6	0
27.7	0
27.9	1
28.0	0
28.2	0
28.3	0
28.5	0
28.6	0
28.8	1
28.9	0
29.1	0
29.2	0
29.4	0
29.5	0
29.7	2
29.8	0
29.9	1
30.1	0
30.2	0
30.4	0
30.5	0
30.7	0
30.8	0
31.0	0
31.1	0
31.3	0
31.4	0
31.6	0
31.7	0
31.9	1
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	1
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	2
