E_B#9 / keV	N_B#9
0.1	1
0.2	1
0.4	4
0.5	1
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	0
2.1	1
2.3	1
2.4	3
2.6	3
2.7	4
2.9	2
3.0	6
3.2	2
3.3	1
3.5	3
3.6	2
3.8	6
3.9	4
4.1	1
4.2	6
4.4	5
4.5	6
4.7	3
4.8	0
4.9	6
5.1	5
5.2	6
5.4	2
5.5	5
5.7	2
5.8	0
6.0	3
6.1	5
6.3	2
6.4	10
6.6	5
6.7	4
6.9	4
7.0	3
7.2	6
7.3	6
7.5	3
7.6	5
7.8	7
7.9	3
8.1	4
8.2	3
8.4	3
8.5	6
8.6	2
8.8	4
8.9	1
9.1	1
9.2	1
9.4	3
9.5	6
9.7	9
9.8	6
10.0	4
10.1	3
10.3	4
10.4	3
10.6	0
10.7	4
10.9	3
11.0	4
11.2	4
11.3	8
11.5	12
11.6	7
11.8	10
11.9	7
12.1	7
12.2	2
12.3	3
12.5	6
12.6	6
12.8	2
12.9	10
13.1	2
13.2	4
13.4	1
13.5	1
13.7	7
13.8	7
14.0	4
14.1	4
14.3	1
14.4	1
14.6	2
14.7	8
14.9	3
15.0	8
15.2	7
15.3	8
15.5	23
15.6	36
15.7	68
15.9	82
16.0	81
16.2	36
16.3	19
16.5	28
16.6	40
16.8	19
16.9	21
17.1	25
17.2	34
17.4	78
17.5	83
17.7	73
17.8	55
18.0	27
18.1	10
18.3	10
18.4	5
18.6	8
18.7	7
18.9	5
19.0	1
19.2	1
19.3	6
19.4	3
19.6	4
19.7	4
19.9	4
20.0	1
20.2	2
20.3	0
20.5	0
20.6	0
20.8	0
20.9	0
21.1	0
21.2	0
21.4	0
21.5	0
21.7	0
21.8	0
22.0	0
22.1	0
22.3	0
22.4	0
22.6	0
22.7	0
22.8	0
23.0	0
23.1	1
23.3	0
23.4	0
23.6	0
23.7	0
23.9	0
24.0	0
24.2	0
24.3	0
24.5	0
24.6	1
24.8	0
24.9	0
25.1	1
25.2	0
25.4	0
25.5	0
25.7	0
25.8	1
26.0	0
26.1	0
26.3	1
26.4	0
26.5	1
26.7	0
26.8	0
27.0	0
27.1	0
27.3	0
27.4	0
27.6	0
27.7	1
27.9	0
28.0	1
28.2	0
28.3	0
28.5	3
28.6	0
28.8	0
28.9	0
29.1	2
29.2	0
29.4	0
29.5	0
29.7	0
29.8	0
29.9	1
30.1	1
30.2	0
30.4	0
30.5	0
30.7	0
30.8	1
31.0	0
31.1	0
31.3	1
31.4	0
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	1
