E_B#8 / keV	N_B#8
0.1	0
0.2	0
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	2
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	0
2.1	0
2.3	4
2.4	12
2.6	5
2.7	6
2.9	5
3.0	7
3.2	8
3.3	10
3.5	9
3.6	4
3.8	8
3.9	2
4.1	7
4.2	5
4.4	7
4.5	8
4.7	3
4.8	10
4.9	8
5.1	7
5.2	5
5.4	5
5.5	2
5.7	6
5.8	7
6.0	3
6.1	6
6.3	9
6.4	4
6.6	16
6.7	4
6.9	4
7.0	3
7.2	13
7.3	8
7.5	9
7.6	12
7.8	9
7.9	4
8.1	5
8.2	8
8.4	13
8.5	7
8.6	13
8.8	6
8.9	6
9.1	6
9.2	10
9.4	11
9.5	10
9.7	20
9.8	27
10.0	13
10.1	7
10.3	9
10.4	4
10.6	6
10.7	5
10.9	5
11.0	3
11.2	9
11.3	11
11.5	11
11.6	27
11.8	13
11.9	5
12.1	3
12.2	4
12.3	6
12.5	4
12.6	3
12.8	5
12.9	10
13.1	4
13.2	6
13.4	8
13.5	8
13.7	9
13.8	7
14.0	7
14.1	8
14.3	5
14.4	10
14.6	5
14.7	6
14.9	4
15.0	10
15.2	18
15.3	18
15.5	17
15.6	28
15.7	28
15.9	37
16.0	36
16.2	25
16.3	21
16.5	25
16.6	36
16.8	41
16.9	46
17.1	67
17.2	119
17.4	284
17.5	368
17.7	295
17.8	134
18.0	62
18.1	32
18.3	13
18.4	5
18.6	6
18.7	6
18.9	4
19.0	10
19.2	6
19.3	12
19.4	15
19.6	21
19.7	35
19.9	13
20.0	10
20.2	6
20.3	0
20.5	0
20.6	0
20.8	1
20.9	0
21.1	1
21.2	1
21.4	1
21.5	0
21.7	1
21.8	1
22.0	5
22.1	2
22.3	0
22.4	0
22.6	0
22.7	0
22.8	0
23.0	0
23.1	0
23.3	2
23.4	2
23.6	1
23.7	1
23.9	2
24.0	0
24.2	1
24.3	0
24.5	2
24.6	0
24.8	4
24.9	2
25.1	3
25.2	2
25.4	3
25.5	2
25.7	0
25.8	3
26.0	4
26.1	3
26.3	1
26.4	1
26.5	2
26.7	2
26.8	2
27.0	3
27.1	3
27.3	3
27.4	1
27.6	2
27.7	1
27.9	1
28.0	4
28.2	0
28.3	2
28.5	4
28.6	5
28.8	2
28.9	2
29.1	2
29.2	1
29.4	1
29.5	5
29.7	6
29.8	5
29.9	0
30.1	2
30.2	1
30.4	3
30.5	4
30.7	0
30.8	2
31.0	1
31.1	4
31.3	1
31.4	2
31.6	4
31.7	0
31.9	2
32.0	6
32.2	2
32.3	4
32.5	0
32.6	2
32.8	2
32.9	1
33.1	1
33.2	0
33.4	0
33.5	1
33.6	0
33.8	1
33.9	1
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	1
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	6
