E_B#13 / keV	N_B#13
0.1	41
0.2	8
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	1
1.8	0
2.0	9
2.1	53
2.3	113
2.4	152
2.6	111
2.7	100
2.9	65
3.0	74
3.2	90
3.3	79
3.5	84
3.6	79
3.8	81
3.9	81
4.1	69
4.2	86
4.4	85
4.5	83
4.7	75
4.8	81
4.9	88
5.1	76
5.2	83
5.4	87
5.5	78
5.7	76
5.8	91
6.0	106
6.1	129
6.3	199
6.4	247
6.6	242
6.7	183
6.9	198
7.0	218
7.2	236
7.3	305
7.5	396
7.6	332
7.8	210
7.9	127
8.1	139
8.2	147
8.4	180
8.5	127
8.6	126
8.8	99
8.9	99
9.1	90
9.2	167
9.4	317
9.5	569
9.7	840
9.8	841
10.0	459
10.1	213
10.3	122
10.4	106
10.6	102
10.7	77
10.9	120
11.0	173
11.2	279
11.3	464
11.5	694
11.6	693
11.8	456
11.9	271
12.1	187
12.2	148
12.3	124
12.5	123
12.6	136
12.8	159
12.9	143
13.1	194
13.2	225
13.4	250
13.5	266
13.7	284
13.8	258
14.0	277
14.1	310
14.3	326
14.4	394
14.6	376
14.7	390
14.9	409
15.0	442
15.2	522
15.3	505
15.5	604
15.6	625
15.7	712
15.9	753
16.0	765
16.2	798
16.3	899
16.5	914
16.6	984
16.8	1070
16.9	1617
17.1	3162
17.2	6642
17.4	11029
17.5	12022
17.7	8437
17.8	4179
18.0	2083
18.1	1528
18.3	1525
18.4	1486
18.6	1519
18.7	1498
18.9	1541
19.0	1681
19.2	1947
19.3	3032
19.4	4387
19.6	4929
19.7	3799
19.9	2357
20.0	1093
20.2	430
20.3	176
20.5	98
20.6	50
20.8	43
20.9	37
21.1	36
21.2	25
21.4	42
21.5	35
21.7	56
21.8	72
22.0	89
22.1	71
22.3	55
22.4	39
22.6	45
22.7	36
22.8	39
23.0	35
23.1	47
23.3	44
23.4	43
23.6	32
23.7	36
23.9	37
24.0	40
24.2	44
24.3	49
24.5	43
24.6	51
24.8	50
24.9	48
25.1	53
25.2	54
25.4	41
25.5	58
25.7	60
25.8	76
26.0	80
26.1	62
26.3	84
26.4	80
26.5	78
26.7	65
26.8	70
27.0	68
27.1	63
27.3	58
27.4	79
27.6	81
27.7	68
27.9	70
28.0	91
28.2	84
28.3	81
28.5	70
28.6	79
28.8	71
28.9	62
29.1	56
29.2	60
29.4	62
29.5	93
29.7	54
29.8	65
29.9	59
30.1	56
30.2	60
30.4	54
30.5	47
30.7	50
30.8	43
31.0	51
31.1	53
31.3	60
31.4	34
31.6	43
31.7	38
31.9	31
32.0	42
32.2	47
32.3	34
32.5	36
32.6	38
32.8	35
32.9	21
33.1	32
33.2	29
33.4	31
33.5	22
33.6	14
33.8	21
33.9	6
34.1	9
34.2	4
34.4	6
34.5	3
34.7	5
34.8	7
35.0	5
35.1	5
35.3	10
35.4	5
35.6	5
35.7	3
35.9	5
36.0	6
36.2	3
36.3	4
36.5	0
36.6	1
36.8	2
36.9	4
37.0	2
37.2	2
37.3	1
37.5	0
37.6	1
37.8	57
