E_B#12 / keV	N_B#12
0.1	219
0.2	9
0.4	0
0.5	0
0.7	0
0.8	1
1.0	12
1.1	95
1.3	322
1.4	392
1.5	360
1.7	342
1.8	290
2.0	262
2.1	230
2.3	227
2.4	205
2.6	184
2.7	178
2.9	194
3.0	194
3.2	196
3.3	217
3.5	243
3.6	259
3.8	241
3.9	270
4.1	336
4.2	328
4.4	387
4.5	413
4.7	454
4.8	527
4.9	567
5.1	600
5.2	592
5.4	637
5.5	734
5.7	722
5.8	673
6.0	674
6.1	662
6.3	618
6.4	597
6.6	593
6.7	615
6.9	646
7.0	709
7.2	831
7.3	965
7.5	1052
7.6	1154
7.8	1287
7.9	1403
8.1	1461
8.2	1380
8.4	1325
8.5	1341
8.6	1318
8.8	1274
8.9	1360
9.1	1488
9.2	1642
9.4	1881
9.5	1848
9.7	2066
9.8	2088
10.0	2162
10.1	2147
10.3	2235
10.4	2197
10.6	2304
10.7	2336
10.9	2352
11.0	2539
11.2	2587
11.3	2709
11.5	2758
11.6	3002
11.8	3030
11.9	3226
12.1	3242
12.2	3327
12.3	3524
12.5	3553
12.6	3565
12.8	3837
12.9	3786
13.1	3763
13.2	3961
13.4	4075
13.5	4245
13.7	4348
13.8	4441
14.0	4493
14.1	4702
14.3	4796
14.4	5461
14.6	6178
14.7	6973
14.9	8249
15.0	9475
15.2	11314
15.3	12713
15.5	14625
15.6	15734
15.7	16124
15.9	16005
16.0	15323
16.2	13556
16.3	11957
16.5	10087
16.6	8953
16.8	8054
16.9	7684
17.1	7248
17.2	7420
17.4	7313
17.5	7719
17.7	7638
17.8	7574
18.0	7397
18.1	7332
18.3	6606
18.4	6286
18.6	5719
18.7	5416
18.9	5028
19.0	4517
19.2	4371
19.3	4346
19.4	4255
19.6	4226
19.7	4168
19.9	4212
20.0	4128
20.2	3978
20.3	3970
20.5	3949
20.6	3834
20.8	3765
20.9	3630
21.1	3622
21.2	3400
21.4	3321
21.5	3355
21.7	3348
21.8	3286
22.0	3382
22.1	3235
22.3	3116
22.4	3116
22.6	2971
22.7	2914
22.8	2984
23.0	2816
23.1	2837
23.3	2793
23.4	2765
23.6	2818
23.7	2569
23.9	2576
24.0	2654
24.2	2566
24.3	2503
24.5	2485
24.6	2449
24.8	2449
24.9	2219
25.1	2103
25.2	2133
25.4	2143
25.5	2013
25.7	1968
25.8	1951
26.0	1972
26.1	1803
26.3	1800
26.4	1798
26.5	1719
26.7	1621
26.8	1642
27.0	1585
27.1	1561
27.3	1448
27.4	1434
27.6	1406
27.7	1378
27.9	1394
28.0	1270
28.2	1251
28.3	1251
28.5	1126
28.6	1148
28.8	1117
28.9	1143
29.1	1063
29.2	957
29.4	937
29.5	1010
29.7	945
29.8	927
29.9	879
30.1	887
30.2	886
30.4	843
30.5	793
30.7	816
30.8	788
31.0	771
31.1	737
31.3	724
31.4	697
31.6	646
31.7	679
31.9	603
32.0	583
32.2	586
32.3	543
32.5	479
32.6	490
32.8	483
32.9	454
33.1	451
33.2	410
33.4	444
33.5	427
33.6	418
33.8	392
33.9	358
34.1	357
34.2	349
34.4	335
34.5	324
34.7	309
34.8	257
35.0	301
35.1	297
35.3	283
35.4	294
35.6	280
35.7	281
35.9	267
36.0	258
36.2	260
36.3	221
36.5	259
36.6	225
36.8	220
36.9	198
37.0	206
37.2	203
37.3	179
37.5	181
37.6	207
37.8	5613
