E_B#14 / keV	N_B#14
0.1	110
0.2	5
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	4
1.5	11
1.7	24
1.8	85
2.0	152
2.1	248
2.3	234
2.4	220
2.6	204
2.7	209
2.9	206
3.0	171
3.2	182
3.3	166
3.5	192
3.6	180
3.8	166
3.9	184
4.1	152
4.2	175
4.4	186
4.5	199
4.7	166
4.8	169
4.9	184
5.1	151
5.2	173
5.4	205
5.5	167
5.7	251
5.8	253
6.0	357
6.1	455
6.3	475
6.4	444
6.6	447
6.7	463
6.9	574
7.0	645
7.2	750
7.3	667
7.5	574
7.6	412
7.8	323
7.9	373
8.1	357
8.2	377
8.4	333
8.5	313
8.6	316
8.8	350
8.9	462
9.1	711
9.2	1133
9.4	1464
9.5	1514
9.7	1334
9.8	868
10.0	567
10.1	431
10.3	418
10.4	426
10.6	524
10.7	669
10.9	878
11.0	1208
11.2	1520
11.3	1679
11.5	1519
11.6	1325
11.8	1008
11.9	910
12.1	920
12.2	1028
12.3	993
12.5	1155
12.6	1154
12.8	1394
12.9	1487
13.1	1506
13.2	1661
13.4	1800
13.5	1772
13.7	1903
13.8	1981
14.0	2098
14.1	2074
14.3	2196
14.4	2292
14.6	2445
14.7	2497
14.9	2576
15.0	2653
15.2	2833
15.3	2913
15.5	3029
15.6	3208
15.7	3198
15.9	3256
16.0	3389
16.2	3578
16.3	3949
16.5	4653
16.6	6464
16.8	10361
16.9	16700
17.1	23846
17.2	27924
17.4	24747
17.5	16906
17.7	8648
17.8	4130
18.0	2402
18.1	1836
18.3	1493
18.4	1292
18.6	1108
18.7	1025
18.9	995
19.0	1046
19.2	1183
19.3	1398
19.4	1332
19.6	1158
19.7	1000
19.9	857
20.0	805
20.2	778
20.3	792
20.5	777
20.6	805
20.8	822
20.9	784
21.1	797
21.2	823
21.4	862
21.5	988
21.7	974
21.8	1054
22.0	919
22.1	834
22.3	785
22.4	784
22.6	790
22.7	781
22.8	746
23.0	758
23.1	824
23.3	747
23.4	782
23.6	711
23.7	715
23.9	697
24.0	789
24.2	804
24.3	773
24.5	764
24.6	752
24.8	742
24.9	738
25.1	776
25.2	759
25.4	775
25.5	775
25.7	817
25.8	802
26.0	759
26.1	711
26.3	667
26.4	613
26.5	608
26.7	558
26.8	551
27.0	547
27.1	523
27.3	491
27.4	487
27.6	467
27.7	464
27.9	459
28.0	453
28.2	443
28.3	456
28.5	407
28.6	384
28.8	394
28.9	403
29.1	394
29.2	365
29.4	340
29.5	334
29.7	302
29.8	319
29.9	308
30.1	310
30.2	309
30.4	298
30.5	293
30.7	294
30.8	285
31.0	244
31.1	238
31.3	232
31.4	245
31.6	236
31.7	222
31.9	212
32.0	173
32.2	191
32.3	169
32.5	185
32.6	172
32.8	149
32.9	160
33.1	139
33.2	144
33.4	138
33.5	99
33.6	65
33.8	58
33.9	63
34.1	48
34.2	42
34.4	47
34.5	49
34.7	38
34.8	33
35.0	49
35.1	46
35.3	36
35.4	53
35.6	33
35.7	48
35.9	39
36.0	41
36.2	40
36.3	38
36.5	37
36.6	45
36.8	36
36.9	31
37.0	40
37.2	29
37.3	28
37.5	20
37.6	29
37.8	782
