E_B#13 / keV	N_B#13
0.1	4
0.2	2
0.4	0
0.5	1
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	0
2.0	3
2.1	3
2.3	18
2.4	27
2.6	24
2.7	25
2.9	21
3.0	18
3.2	25
3.3	16
3.5	26
3.6	26
3.8	28
3.9	23
4.1	20
4.2	17
4.4	25
4.5	21
4.7	13
4.8	16
4.9	29
5.1	33
5.2	31
5.4	20
5.5	26
5.7	23
5.8	24
6.0	19
6.1	24
6.3	22
6.4	28
6.6	38
6.7	32
6.9	25
7.0	34
7.2	33
7.3	39
7.5	53
7.6	44
7.8	34
7.9	26
8.1	20
8.2	28
8.4	34
8.5	28
8.6	26
8.8	28
8.9	21
9.1	17
9.2	31
9.4	26
9.5	41
9.7	61
9.8	90
10.0	60
10.1	39
10.3	24
10.4	27
10.6	25
10.7	26
10.9	20
11.0	27
11.2	27
11.3	35
11.5	63
11.6	68
11.8	57
11.9	54
12.1	51
12.2	33
12.3	36
12.5	42
12.6	36
12.8	38
12.9	36
13.1	44
13.2	66
13.4	64
13.5	73
13.7	75
13.8	65
14.0	81
14.1	71
14.3	87
14.4	80
14.6	95
14.7	75
14.9	98
15.0	108
15.2	116
15.3	128
15.5	118
15.6	137
15.7	157
15.9	157
16.0	172
16.2	188
16.3	201
16.5	249
16.6	339
16.8	479
16.9	598
17.1	580
17.2	435
17.4	314
17.5	262
17.7	167
17.8	106
18.0	62
18.1	20
18.3	17
18.4	21
18.6	16
18.7	31
18.9	36
19.0	23
19.2	25
19.3	20
19.4	24
19.6	30
19.7	19
19.9	20
20.0	18
20.2	27
20.3	25
20.5	15
20.6	17
20.8	16
20.9	18
21.1	20
21.2	16
21.4	26
21.5	15
21.7	29
21.8	23
22.0	17
22.1	14
22.3	30
22.4	24
22.6	19
22.7	18
22.8	14
23.0	17
23.1	24
23.3	15
23.4	11
23.6	16
23.7	17
23.9	23
24.0	15
24.2	19
24.3	19
24.5	12
24.6	12
24.8	16
24.9	17
25.1	15
25.2	11
25.4	7
25.5	12
25.7	8
25.8	6
26.0	5
26.1	10
26.3	6
26.4	6
26.5	7
26.7	1
26.8	2
27.0	1
27.1	4
27.3	1
27.4	0
27.6	0
27.7	1
27.9	2
28.0	0
28.2	1
28.3	1
28.5	0
28.6	0
28.8	0
28.9	0
29.1	0
29.2	0
29.4	0
29.5	0
29.7	0
29.8	0
29.9	0
30.1	0
30.2	0
30.4	0
30.5	0
30.7	0
30.8	0
31.0	0
31.1	0
31.3	0
31.4	0
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	1
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	1
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	8
