E_B#12 / keV	N_B#12
0.1	7
0.2	1
0.4	0
0.5	0
0.7	0
0.8	0
1.0	0
1.1	0
1.3	0
1.4	0
1.5	0
1.7	0
1.8	1
2.0	0
2.1	4
2.3	2
2.4	7
2.6	5
2.7	14
2.9	9
3.0	5
3.2	4
3.3	4
3.5	6
3.6	7
3.8	6
3.9	11
4.1	7
4.2	4
4.4	7
4.5	7
4.7	6
4.8	9
4.9	11
5.1	12
5.2	11
5.4	7
5.5	11
5.7	6
5.8	10
6.0	3
6.1	11
6.3	5
6.4	12
6.6	7
6.7	4
6.9	10
7.0	9
7.2	6
7.3	10
7.5	12
7.6	12
7.8	11
7.9	13
8.1	7
8.2	7
8.4	9
8.5	7
8.6	4
8.8	3
8.9	11
9.1	7
9.2	6
9.4	7
9.5	12
9.7	21
9.8	28
10.0	17
10.1	10
10.3	8
10.4	5
10.6	5
10.7	3
10.9	8
11.0	6
11.2	10
11.3	17
11.5	15
11.6	17
11.8	20
11.9	5
12.1	8
12.2	13
12.3	8
12.5	9
12.6	15
12.8	12
12.9	9
13.1	18
13.2	19
13.4	17
13.5	15
13.7	21
13.8	19
14.0	26
14.1	18
14.3	23
14.4	21
14.6	26
14.7	30
14.9	23
15.0	26
15.2	23
15.3	27
15.5	33
15.6	26
15.7	34
15.9	40
16.0	36
16.2	53
16.3	67
16.5	91
16.6	122
16.8	179
16.9	211
17.1	189
17.2	100
17.4	104
17.5	65
17.7	39
17.8	25
18.0	9
18.1	13
18.3	4
18.4	3
18.6	9
18.7	11
18.9	4
19.0	4
19.2	3
19.3	6
19.4	5
19.6	4
19.7	4
19.9	8
20.0	1
20.2	3
20.3	8
20.5	3
20.6	4
20.8	4
20.9	6
21.1	8
21.2	6
21.4	9
21.5	6
21.7	7
21.8	6
22.0	4
22.1	7
22.3	6
22.4	4
22.6	5
22.7	7
22.8	6
23.0	5
23.1	4
23.3	2
23.4	8
23.6	6
23.7	9
23.9	5
24.0	6
24.2	0
24.3	4
24.5	7
24.6	5
24.8	2
24.9	2
25.1	5
25.2	4
25.4	7
25.5	7
25.7	1
25.8	4
26.0	8
26.1	3
26.3	2
26.4	1
26.5	7
26.7	6
26.8	4
27.0	7
27.1	1
27.3	6
27.4	6
27.6	2
27.7	4
27.9	1
28.0	4
28.2	4
28.3	2
28.5	2
28.6	0
28.8	1
28.9	2
29.1	2
29.2	2
29.4	1
29.5	2
29.7	3
29.8	1
29.9	2
30.1	0
30.2	0
30.4	1
30.5	3
30.7	1
30.8	1
31.0	0
31.1	1
31.3	1
31.4	0
31.6	0
31.7	0
31.9	0
32.0	0
32.2	0
32.3	0
32.5	0
32.6	0
32.8	0
32.9	0
33.1	0
33.2	0
33.4	0
33.5	0
33.6	0
33.8	0
33.9	0
34.1	0
34.2	0
34.4	0
34.5	0
34.7	0
34.8	0
35.0	0
35.1	0
35.3	0
35.4	0
35.6	0
35.7	0
35.9	0
36.0	0
36.2	0
36.3	0
36.5	0
36.6	0
36.8	0
36.9	0
37.0	0
37.2	0
37.3	0
37.5	0
37.6	0
37.8	12
