Counts, Uncertainty
2132.000000, 46.173586
4986.000000, 70.611614
6830.000000, 82.643814
6014.000000, 77.549984
4692.000000, 68.498175
3969.000000, 63.000000
3621.000000, 60.174746
3300.000000, 57.445626
2733.000000, 52.278102
2494.000000, 49.939964
2037.000000, 45.133136
1827.000000, 42.743421
1946.000000, 44.113490
1904.000000, 43.634848
1647.000000, 40.583248
1717.000000, 41.436699
1601.000000, 40.012498
1551.000000, 39.382737
1410.000000, 37.549967
1504.000000, 38.781439
1419.000000, 37.669616
1517.000000, 38.948684
1998.000000, 44.698993
1975.000000, 44.440972
2155.000000, 46.421978
2193.000000, 46.829478
2673.000000, 51.701064
2625.000000, 51.234754
2715.000000, 52.105662
2874.000000, 53.609701
